Котёнок Гав;+7 (812) 377–17–58;Санкт-Петербург, Новаторов бульвар, 28;kotenok-gav.com;
Ситивет;+7 (812) 493–43–53, +7 (812) 903–59–83;Санкт-Петербург, Симонова, 1;www.vetspb.ru;info@vetspb.ru
Ирбис;+7 (812) 945–32–93;Санкт-Петербург, Просвещения проспект, 53 к1;www.vet-irbis.ru;irbis-vet@mail.ru
Котёнок Гав;+7 (812) 377–17–58;Санкт-Петербург, Новаторов бульвар, 28;kotenok-gav.com;
Ветеринарная клиника им. Айвэна Филлмора;+7 (812) 210–41–99;ТРК Гранд Каньон,Санкт-Петербург, Энгельса проспект, 154 лит А;www.vetclinic-if.ru;vetclinic-if@yandex.ru
Ветеринарная клиника им. Айвэна Филлмора;+7 (812) 210–41–99;ТРК Гранд Каньон,Санкт-Петербург, Энгельса проспект, 154 лит А;www.vetclinic-if.ru;vetclinic-if@yandex.ru
Ветеринарная клиника им. Айвэна Филлмора;+7 (812) 210–41–99;ТРК Гранд Каньон,Санкт-Петербург, Энгельса проспект, 154 лит А;www.vetclinic-if.ru;vetclinic-if@yandex.ru
Ветеринарная клиника им. Айвэна Филлмора;+7 (812) 210–41–99;ТРК Гранд Каньон,Санкт-Петербург, Энгельса проспект, 154 лит А;www.vetclinic-if.ru;vetclinic-if@yandex.ru
Ветеринарная клиника Сотникова;+7 (812) 509–60–07, +7 (812) 509–60–34;Санкт-Петербург, Репищева, 13 к1;www.spbvet.com;admin@spbvet.com
LА MURR;+7 (383) 264–04–02, +7–913–913–64–64, +7–913–909–00–39;Новосибирск, Бориса Богаткова, 245;;lamurr2012@mail.ru
ВетСеть;+7 (812) 612–11–10;Санкт-Петербург, Руставели, 66;www.vetseti.ru;mail@vetseti.ru
Ситивет;+7 (812) 493–43–53, +7 (812) 903–59–83;Санкт-Петербург, Симонова, 1;www.vetspb.ru;info@vetspb.ru
ВетДоктор;+7–913–067–24–25, +7 (383) 319–59–19;Новосибирск, Орджоникидзе, 30;www.akvazoocentr.ru;vetdoctorclinic@yandex.ru
Ветеринарная клиника Сотникова;+7 (812) 509–60–07, +7 (812) 509–60–34;Санкт-Петербург, Репищева, 13 к1;www.spbvet.com;admin@spbvet.com
Нежный зверь;+7 (812) 443–83–74;Санкт-Петербург, Прибрежная, 11;nzver.spb.ru;nzver-spb@mail.ru
Ветеринарный центр доктора Костикова В.В.;+7 (812) 444–99–99, +7–965–064–55–03;Санкт-Петербург, Петергофское шоссе, 3 к1;vetmedicina.com;
ВетСеть;+7 (812) 612–11–10;Санкт-Петербург, Руставели, 66;www.vetseti.ru;mail@vetseti.ru
Нежный зверь;+7 (812) 443–83–74;Санкт-Петербург, Прибрежная, 11;nzver.spb.ru;nzver-spb@mail.ru
Санкт-Петербургская городская станция по борьбе с болезнями животных;+7 (812) 527–50–45, +7 (812) 527–50–43, +7 (812) 527–09–46;Санкт-Петербург, Жерновская 2-я, 46;www.spbvet.ru;
Ветеринарная клиника им. Айвэна Филлмора;+7 (812) 210–41–99;ТРК Гранд Каньон,Санкт-Петербург, Энгельса проспект, 154 лит А;www.vetclinic-if.ru;vetclinic-if@yandex.ru
Айболит;+7 (383) 214–91–32, +7 (383) 286–10–73;Новосибирск, Вилюйская, 13;www.aibolit-vet.ru;aibolit159@mail.ru
Ситивет;+7 (812) 493–43–53, +7 (812) 903–59–83;Санкт-Петербург, Симонова, 1;www.vetspb.ru;info@vetspb.ru
Ветеринарная станция Московского, Адмиралтейского, Центрального и Фрунзенского районов;+7 (812) 490–56–42;Санкт-Петербург, Салова, 16;;
Ветика;+7 (383) 218–31–17, +7 (383) 231–07–54;Новосибирск, Семьи Шамшиных, 18;www.vetica.ru;
Ветеринарная клиника Сотникова;+7 (812) 509–60–07, +7 (812) 509–60–34;Санкт-Петербург, Репищева, 13 к1;www.spbvet.com;admin@spbvet.com
Ветеринарная станция Кронштадтского, Курортного и Приморского районов;+7 (812) 430–15–90;Санкт-Петербург, Школьная, 32;www.spbvet.ru;
Санкт-Петербургская городская станция по борьбе с болезнями животных;+7 (812) 527–50–45, +7 (812) 527–50–43, +7 (812) 527–09–46;Санкт-Петербург, Жерновская 2-я, 46;www.spbvet.ru;
Антарес, ООО;+7 (383) 34–777–40;Новосибирск, Тюленина, 14;;antares-vet@mail.ru
ВетСеть;+7 (812) 612–11–10;Санкт-Петербург, Руставели, 66;www.vetseti.ru;mail@vetseti.ru
Ирбис;+7 (812) 945–32–93;Санкт-Петербург, Просвещения проспект, 53 к1;www.vet-irbis.ru;irbis-vet@mail.ru
Ноев ковчег;+7 (383) 349–91–91, +7 (383) 349–54–29;ТЦ Европа,Новосибирск, Красный проспект, 182;www.kovcheg-nsk.ru;noevkovcheg2016@mail.ru
Ветеринарная клиника им. Айвэна Филлмора;+7 (812) 210–41–99;ТРК Гранд Каньон,Санкт-Петербург, Энгельса проспект, 154 лит А;www.vetclinic-if.ru;vetclinic-if@yandex.ru
Ветеринарная клиника им. Айвэна Филлмора;+7 (812) 210–41–99;ТРК Гранд Каньон,Санкт-Петербург, Энгельса проспект, 154 лит А;www.vetclinic-if.ru;vetclinic-if@yandex.ru
Ветеринарная клиника Сотникова;+7 (812) 509–60–07, +7 (812) 509–60–34;Санкт-Петербург, Репищева, 13 к1;www.spbvet.com;admin@spbvet.com
Ветеринарная станция Московского, Адмиралтейского, Центрального и Фрунзенского районов;+7 (812) 490–56–42;Санкт-Петербург, Салова, 16;;
Котёнок Гав;+7 (812) 377–17–58;Санкт-Петербург, Новаторов бульвар, 28;kotenok-gav.com;
Котёнок Гав;+7 (812) 377–17–58;Санкт-Петербург, Новаторов бульвар, 28;kotenok-gav.com;
Дай лапу;+7 (383) 239–62–03, +7–983–310–62–03;Новосибирск, Урицкого, 13;kotey88.wix.com;kotey88@mail.ru
Нежный зверь;+7 (812) 443–83–74;Санкт-Петербург, Прибрежная, 11;nzver.spb.ru;nzver-spb@mail.ru
Нежный зверь;+7 (812) 443–83–74;Санкт-Петербург, Прибрежная, 11;nzver.spb.ru;nzver-spb@mail.ru
Veterinar 54;+7 (383) 286–61–65, +7–913–747–57–31;Новосибирск;veterinar54.ru;79137475731@yandex.ru
Ветеринарная станция Выборгского, Калининского и Петроградского районов;+7 (812) 540–38–68, +7 (812) 540–30–32;Санкт-Петербург, Васенко, 3 к3;;
Ветеринарная клиника им. Айвэна Филлмора;+7 (812) 210–41–99;ТРК Гранд Каньон,Санкт-Петербург, Энгельса проспект, 154 лит А;www.vetclinic-if.ru;vetclinic-if@yandex.ru
Ирбис;+7 (812) 945–32–93;Санкт-Петербург, Просвещения проспект, 53 к1;www.vet-irbis.ru;irbis-vet@mail.ru
Котёнок Гав;+7 (812) 377–17–58;Санкт-Петербург, Новаторов бульвар, 28;kotenok-gav.com;
Ветеринарный центр доктора Костикова В.В.;+7 (812) 444–99–99, +7–965–064–55–03;Санкт-Петербург, Петергофское шоссе, 3 к1;vetmedicina.com;
Ветеринарная клиника Сотникова;+7 (812) 509–60–07, +7 (812) 509–60–34;Санкт-Петербург, Репищева, 13 к1;www.spbvet.com;admin@spbvet.com
Санкт-Петербургская городская станция по борьбе с болезнями животных;+7 (812) 527–50–45, +7 (812) 527–50–43, +7 (812) 527–09–46;Санкт-Петербург, Жерновская 2-я, 46;www.spbvet.ru;
ВетСеть;+7 (812) 612–11–10;Санкт-Петербург, Руставели, 66;www.vetseti.ru;mail@vetseti.ru
Ветеринарная клиника Сотникова;+7 (812) 509–60–07, +7 (812) 509–60–34;Санкт-Петербург, Репищева, 13 к1;www.spbvet.com;admin@spbvet.com
Ветеринарная клиника Сотникова;+7 (812) 509–60–07, +7 (812) 509–60–34;Санкт-Петербург, Репищева, 13 к1;www.spbvet.com;admin@spbvet.com
Нежный зверь;+7 (812) 443–83–74;Санкт-Петербург, Прибрежная, 11;nzver.spb.ru;nzver-spb@mail.ru
Ветеринарная станция Кронштадтского, Курортного и Приморского районов;+7 (812) 430–15–90;Санкт-Петербург, Школьная, 32;www.spbvet.ru;
ВетСеть;+7 (812) 612–11–10;Санкт-Петербург, Руставели, 66;www.vetseti.ru;mail@vetseti.ru
Санкт-Петербургская городская станция по борьбе с болезнями животных;+7 (812) 527–50–45, +7 (812) 527–50–43, +7 (812) 527–09–46;Санкт-Петербург, Жерновская 2-я, 46;www.spbvet.ru;
Ветеринарный центр доктора Костикова В.В.;+7 (812) 444–99–99, +7–965–064–55–03;Санкт-Петербург, Петергофское шоссе, 3 к1;vetmedicina.com;
Ирбис;+7 (812) 945–32–93;Санкт-Петербург, Просвещения проспект, 53 к1;www.vet-irbis.ru;irbis-vet@mail.ru
Ирбис;+7 (812) 945–32–93;Санкт-Петербург, Просвещения проспект, 53 к1;www.vet-irbis.ru;irbis-vet@mail.ru
Ситивет;+7 (812) 493–43–53, +7 (812) 903–59–83;Санкт-Петербург, Симонова, 1;www.vetspb.ru;info@vetspb.ru
Ветеринарная клиника Сотникова;+7 (812) 509–60–07, +7 (812) 509–60–34;Санкт-Петербург, Репищева, 13 к1;www.spbvet.com;admin@spbvet.com
Санкт-Петербургская городская станция по борьбе с болезнями животных;+7 (812) 527–50–45, +7 (812) 527–50–43, +7 (812) 527–09–46;Санкт-Петербург, Жерновская 2-я, 46;www.spbvet.ru;
Ветеринарная станция Московского, Адмиралтейского, Центрального и Фрунзенского районов;+7 (812) 490–56–42;Санкт-Петербург, Салова, 16;;
