“»—-Ћоджистик, ќќќ;+7 (423) 2Ц614Ц888;¬ладивосток, “олстого,†32а;www.tis-logistic.ru;info@tis-logistic.ru
ƒ’Ћ »нтернешнл, јќ;+7 (423) 2Ц651Ц000;“орговый дом »гнат,¬ладивосток,  омсомольска€,†13;www.dhl.ru;vvostn@dhl.com
TNT;8Ц800Ц100Ц27Ц77, +7 (423) 261Ц08Ц87, +7 (423) 263Ц66Ц36;¬ладивосток, 100-лети€ ¬ладивостока проспект,†150;www.tnt.com;tnt@tnt.ru
–эйл “ранзит, ќќќ;+7 (423) 255Ц11Ц02;¬ладивосток, —трельникова,†5;railtransit.ru;info@railtransit.ru
јзи€ »нтер √рупп ƒ¬, ќќќ;+7 (423) 296Ц60Ц22, +7 (423) 256Ц32Ц18, +7 (423) 274Ц77Ц00;¬ладивосток,  рылова,†58;asia-dv.com;cherkashina@asia-dv.com
ѕрофит “ранс;+7 (423) 20Ц22Ц800, +7 (423) 20Ц22Ц801;¬ладивосток, —ветланска€,†66Ѕ;www.profit-trans.ru;info@profit-trans.ru
Ѕайкал;8Ц800Ц222Ц05Ц06;Ѕ÷ City-Hall,¬ладивосток, «апорожска€,†77;baikalvl.ru;asia@baikalvlad.ru
јльтерна;+7 (423) 265Ц09Ц83;√остиница ћеридиан,¬ладивосток, ќчаковска€,†5;www.alternadv.com;alternadv@gmail.com
ƒженерал Ћоджистик —ервис;+7 (4236) 61Ц32Ц72, +7Ц914Ц709Ц65Ц98;¬ладивосток;;gls@glservice.cc
UPS;+7 (423) 226Ц19Ц82;¬ладивосток, ¬ерхнепортова€,†12а;www.ups.com;
—ƒЁ ;8Ц800Ц250Ц04Ц05, +7 (423) 259Ц09Ц00, +7 (423) 275Ц53Ц58, +7 (423) 256Ц18Ц64;¬ладивосток, ѕушкинска€,†52;www.cdek.ru;e.pogreeva@cdek.ru
ƒ¬ “Ё ;+7 (423) 280Ц07Ц30;¬ладивосток, ‘адеева,†63а;www.dvtek.ru;vladoffice@dvtek.ru
“оварные рынки јзии;+7Ц914Ц709Ц05Ц52, +7Ц914Ц703Ц53Ц35, +7 (4236) 69Ц83Ц98, +7Ц950Ц281Ц75Ц66;Ќаходка (Ќаходкинский городской округ, ѕриморский†край);;v.m.zhavoronkin@gmail.com
ƒѕƒ;8Ц800Ц250Ц44Ц34, 8Ц800Ц234Ц45Ц95, 8Ц800Ц555Ц54Ц45, +7 (423) 279Ц01Ц94;¬ладивосток,  арьерна€,†20а лит 18;www.dpd.ru;
PONY EXPRESS;8Ц800Ц234Ц22Ц40, +7 (423) 279Ц10Ц00;¬ладивосток, ѕогранична€,†21;www.ponyexpress.ru;
—ѕ—–-Ё —ѕ–≈——, ќќќ;8Ц800Ц555Ц54Ц45, +7 (423) 294Ц82Ц63;¬ладивосток,  арьерна€,†20а лит 18;www.spsr.ru;
∆елƒорЁкспедици€;8Ц800Ц100Ц55Ц05, +7 (423) 278Ц98Ц66;¬ладивосток, —негова€,†34 лит ∆;www.jde.ru;
∆елдорјль€нс;+7Ц914Ц704Ц79Ц37, +7 (423) 260Ц66Ц83, +7 (423) 260Ц66Ц79, +7 (423) 260Ц66Ц84, +7 (423) 245Ц45Ц45;¬ладивосток, Ѕородинска€,†20а ст7;www.zhdalians.ru;infovlad@zhdalians.ru
Major Express;+7Ц924Ц232Ц07Ц75, +7 (423) 200Ц13Ц14;¬ладивосток, √огол€,†4;www.imexpress.ru;vladivostok@imexpress.ru
ѕримброкер, ќќќ;+7 (423) 261Ц13Ц27;¬ладивосток,  алинина,†231в к30;www.primbrokervl.ru;
“ранс онтейнер, ѕјќ;+7 (423) 2Ц245Ц376, +7 (423) 279Ц04Ц62, +7 (423) 279Ц04Ц61;¬ладивосток, —негова€,†54 ст5;www.trcont.ru;
ƒ’Ћ »нтернешнл, јќ;+7 (423) 2Ц651Ц000;¬ладивосток, —емЄновска€,†29;www.dhl.ru;vvostn@dhl.com
¬Ћ Ћоджистик, ќќќ;8Ц800Ц100Ц03Ц65, +7 (423) 221Ц40Ц50, +7 (423) 221Ц40Ц51;¬ладивосток, ћуравьЄва-јмурского,†1Ѕ;www.vl-logistic.ru;
ƒжапан јвто Ћайнс;+7 (423) 230Ц01Ц66, +7 (423) 230Ц01Ц65;¬ладивосток, “ургенева,†8;www.jalauto.ru;
ƒальневосточное морское пароходство, ѕјќ;+7 (423) 252Ц10Ц10, +7 (423) 252Ц10Ц43;¬ладивосток, јлеутска€,†15;www.fesco.ru;
ѕЁ ;+7 (423) 279Ц05Ц47, +7 (423) 279Ц01Ц72;јртем, ‘рунзе,†21 ст8;pecom.ru;
ƒј…ћЁ —;+7 (423) 243Ц38Ц98, +7 (423) 243Ц32Ц74, +7 (423) 243Ц26Ц53;¬ладивосток, —уханова,†3а;www.dimex.ws;
ќ√ј“, ќќќ;+7 (423) 236Ц26Ц00, +7 (423) 233Ц66Ц65, +7Ц984Ц198Ц08Ц31, +7Ц914Ц707Ц67Ц64;¬ладивосток, ƒнепровска€,†25;www.ogat.ru;
ƒиалог народов;+7 (423) 241Ц22Ц88, +7 (423) 275Ц41Ц56, +7 (423) 241Ц35Ц56, +7Ц914Ц705Ц41Ц56;¬ладивосток, —ветланска€,†9в;www.dialognarodov.ru;
јзи€“рейд;+7 (423) 262Ц02Ц94, +7 (423) 273Ц90Ц87, +7 (423) 291Ц58Ц60, +7Ц914Ц791Ц58Ц60, +7Ц904Ц703Ц90Ц87;¬ладивосток, ”боревича,†20а;www.asiatradedv.com;
ј“ѕ ѕриморье-јртем, ќќќ;+7 (423) 246Ц10Ц02, +7 (423) 246Ц10Ц04;јртем, Ќова€,†29;;
