Арома, ЗАО;+7 (812) 321–60–61, +7 (812) 321–60–60;Санкт-Петербург, Минеральная, 23а;am-spb.ru;
АРОМА;+7–921–923–68–97;Санкт-Петербург, Пулковская, 2 к1;www.atok.ru;
РусАлка;+7 (812) 374–54–20;Санкт-Петербург, Наставников проспект, 47 к1;rusalka-market.ru;
СпивакЪ;;ТК Владимирский Пассаж,Санкт-Петербург, Владимирский проспект, 19;;
Йогастаф;+7 (812) 972–03–40, +7 (812) 448–07–04;БЦ Гороховая 49,Санкт-Петербург, Гороховая, 49;www.yogastuff.ru;
Арома;+7 (812) 997–15–98;Санкт-Петербург;f-aroma.ru;
Барбарис;+7 (812) 491–16–56;Санкт-Петербург, Луначарского проспект, 13 к1;www.asiamix.ru;
Yogin;+7 (812) 570–74–87;Санкт-Петербург, Гороховая, 31;www.yogin.ru;
Деканто;+7 (812) 386–36–09;Санкт-Петербург, 26-я линия В.О., 15 лит Б;;
Амла;+7–904–603–51–98;Санкт-Петербург, Стачек проспект, 6;;
TAC;+7 (812) 984–88–48;ТРЦ Питер Радуга,Санкт-Петербург, Космонавтов проспект, 14;good4room.ru;info@good4room.ru
Zelenika;+7 (812) 954–88–35;Санкт-Петербург, Боровая, 52;zelenikashop.ru;
Товары из Индии;+7–921–966–03–60;Санкт-Петербург, Садовая, 38;www.из-индии.рф;
Интернет-магазин ароматов;+7 (812) 952–22–72;Санкт-Петербург, Загородный проспект, 35;www.aromagazin.ru;
Formula мыла;+7–921–338–27–89, +7 (812) 380–75–85;Санкт-Петербург, Науки проспект, 8 к2;www.soap-formula.ru;
Ganesha;+7 (812) 980–85–98;Санкт-Петербург, Пирогова переулок, 14;;
Мыловар-СПб;+7 (812) 981–29–59;БЦ Атолл,Санкт-Петербург, Учительская, 23;milovar-spb.ru;
Богиня Удачи;8–800–250–93–44, +7 (812) 310–48–49, +7–904–555–02–51;Санкт-Петербург, Садовая, 28-30 к31;agarbatti.ru;
Yoga.spb.ru;+7 (812) 942–16–10, +7–911–001–11–08, +7–921–942–16–10;Санкт-Петербург, Елецкая, 3;yoga.spb.ru;
Boutique de L`amore;;ТРК Мега Дыбенко,д. Кудрово, Мурманское шоссе 12 км, 1;;
Арома-Стиль, ООО;+7 (812) 363–47–04;Санкт-Петербург, Ломаная, 5;www.aromastyle.ru;
РПП;+7 (812) 927–43–83;Санкт-Петербург, Бассейная, 37;india.blizko.ru;
Магазин канцелярских товаров;+7 (812) 433–53–70;Санкт-Петербург, Ленина проспект, 24а;;
Герба;+7 (812) 927–63–99;Лофт Проект Этажи,Санкт-Петербург, Лиговский проспект, 74;;
Boutique de l`arome;+7–911–297–06–54;ТРК Лето,Санкт-Петербург, Пулковское шоссе, 25 к1;aroma4home.ru;
Мята;+7–931–282–82–33;ТРК  Гулливер,Санкт-Петербург, Торфяная дорога, 7;;
Технология;+7 (812) 921–40–41, +7–911–921–40–41;ТК Диана,Санкт-Петербург, Караваевская, 24;drycleaning.umi.ru;
Boutique de l`arome;+7–911–297–06–54;ТРК Европолис,Санкт-Петербург, Полюстровский проспект, 84а;aroma4home.ru;
Технология, ООО;+7 (812) 676–55–98, +7 (812) 904–92–09;Санкт-Петербург, Московское шоссе, 25;твердыйсплав.рф;
Навеус;+7 (812) 655–50–76, +7–911–914–90–43;Санкт-Петербург, Рузовская, 14а;www.styx-naturcosmetic.ru;
Островок Подарков;+7–911–168–77–78, +7–921–916–16–26;Санкт-Петербург, Большевиков проспект, 9 к1;ostrovok-spb.com;
Styx-Naturcosmetic;+7–911–705–57–11;ТЦ Невский Атриум,Санкт-Петербург, Невский проспект, 71;styx-naturcosmetic.ru;
4fresh;+7 (812) 336–56–67;Санкт-Петербург;4fresh.ru;
