Размах;+7 (812) 320–93–00, +7 (812) 244–25–45;БЦ Магнитка,Санкт-Петербург, Магнитогорская, 51 лит Ж;raz-max.com;
Ромстрой;+7 (812) 981–75–36;Санкт-Петербург, Ленина, 37;romstroyspb.ru;
АртСтрой;+7 (812) 930–92–32;БЦ Кондратьевский,Санкт-Петербург, Кондратьевский проспект, 15 к3;9309232.ru;
Ленремонт;+7 (812) 344–44–44, +7 (812) 640–40–29;Санкт-Петербург, Фрунзе, 15;www.lenremont.ru;client@lenremont.ru
Фул Хаус;+7 (812) 922–78–81, +7 (812) 320–30–32;БЦ Глория,Санкт-Петербург, Дунайский проспект, 13 к1;full-houses.ru;
Ленремонт;+7 (812) 344–44–44;Санкт-Петербург, Авиаконструкторов проспект, 4;www.lenremont.ru;client@lenremont.ru
СМУ-27;+7 (812) 572–22–23, +7 (812) 572–22–21;СЗИУ РАНХиГС,Санкт-Петербург, Черняховского, 6/10;www.rsknw.ru;
СтройИнвест, ООО;+7 (812) 448–98–14;Санкт-Петербург, Лифляндская, 3 к1;;
ПрофСопСтрой, ООО;+7 (812) 425–61–55;Санкт-Петербург, Ленинский проспект, 153а к4;profsopstroy.ru;
ФОРУМ ГРУПП, ООО;+7–911–811–86–07;Санкт-Петербург, Афонская, 2;forum-gr.ru;
Арасар, ООО;+7 (812) 309–56–77, +7 (812) 320–28–82;ТОЦ River House,Санкт-Петербург, Академика Павлова, 5;www.arasar.ru;
СпецСтрой Северо-Запад;+7 (812) 982–29–92, +7–905–212–29–92;Санкт-Петербург, Кузнецовская, 21;монтаж-кровель.рф;
gmail.com
KYD BURO;+7–931–231–62–76, +7–904–551–01–11, +7–981–862–76–32, +7–911–153–58–36;ДЦ Обводный Двор,Санкт-Петербург, Набережная Обводного канала, 199-201 лит Н;kydburo.com;
КСК, ООО;+7 (812) 448–65–50;Санкт-Петербург, Верхний 6-й переулок, 10а;www.kskstroi.ru;
Возрождение Торговый Дом, ООО;+7 (812) 252–29–55, +7 (812) 326–88–80, +7 (812) 326–85–34, +7 (812) 252–68–37;Санкт-Петербург, Михайловский переулок, 4а;vozr.ru;
Clean King;+7 (812) 701–07–17;БЦ Звенигородский,Санкт-Петербург, Звенигородская, 9;www.cleanking.ru;
Рус Ремонт;+7 (812) 425–62–52;Санкт-Петербург, Большая Пушкарская, 10;sk-rus-remont.ru;
Normann;+7 (812) 648–00–11;ТОЦ Андреевский двор,Санкт-Петербург, Большой проспект В.О., 18;www.normann.ru;
Летний сад;+7 (812) 946–49–14, +7 (812) 911–49–14, +7 (812) 646–80–80;Санкт-Петербург, Народного Ополчения проспект, 10;lscompany.spb.ru;
МатерикСтрой, ООО;+7 (812) 931–03–88;БЦ Инком,Санкт-Петербург, Лисичанская, 6;www.materikstroy.ru;
Раткайзу, ООО;+7 (812) 677–42–38, +7–931–306–05–59;Санкт-Петербург, Московское шоссе, 25;;
Ассоциация IDA;+7 (812) 943–12–96, +7–963–303–00–29;ТОК  Академический,Санкт-Петербург, Гражданский проспект, 41;www.idaspb.com;
Инженерная Компания;+7 (812) 676–01–70;Санкт-Петербург, Московское шоссе, 233 лит П;www.ingenery.com;
НордФасад;+7 (812) 333–33–98;БЦ Панорама,Санкт-Петербург, Минеральная, 13;www.nordfasad.ru;
БригадуНадо;+7 (812) 424–84–44, +7–963–345–49–26;БЦ Акватория,Санкт-Петербург, Выборгская набережная, 61 лит А;brigadunado.ru;
Апельсин Групп, ООО;+7 (812) 385–66–88, +7 (812) 240–57–77;БЦ Лесной,Санкт-Петербург, Кантемировская, 22;apelsingroup.ru;
Ломакс;+7 (812) 612–08–80;Санкт-Петербург, Ленинский проспект, 153 лит А;lomaks.ru;
Акрилан;+7 (812) 740–65–78, +7 (812) 407–28–09;Санкт-Петербург, Юрия Гагарина проспект, 2;akrilan.spb.ru;
РОСКВИТ, ООО;+7 (812) 242–56–14;Санкт-Петербург, Петроградская набережная, 32;roskvit.com;
Строй-Управа, ООО;+7 (812) 775–05–09;Санкт-Петербург, Маршала Блюхера проспект, 12 к7;stroy-uprava.ru;
Тетра Строй, ООО;+7 (812) 336–43–96;Санкт-Петербург, Набережная реки Мойки, 37;tetrastroy.net;
РемСтройПродукт;+7 (812) 603–43–16;БЦ ЦНИТА,Санкт-Петербург, Бухарестская, 1;skpsp.ru;
СМУ-13, ООО;+7 (812) 455–28–20;Санкт-Петербург, Сестрорецкая, 8;ооосму-13.рф;
ПОЛГРАД;+7 (812) 509–62–32;Санкт-Петербург, Большевиков проспект, 37 к1;www.polgrad.ru;
OiRemont;+7 (812) 962–04–44;Санкт-Петербург, Большая Пушкарская, 10;oiremont.ru;
МаркоПолоСтрой, ООО;+7 (812) 372–50–77;Бизнес-мегаполис Гайот,Санкт-Петербург, Профессора Попова, 23 лит А;marcopolostroy.ru;
АЛЬТ-Икс;+7 (812) 384–64–00, +7 (812) 677–57–54;Санкт-Петербург, Южное шоссе, 37 к1 лит А;alt-x.ru;
;;;;
;;;;
Козерог;+7 (812) 230–83–77, +7 (812) 244–38–48, +7 (812) 230–50–77;Санкт-Петербург, Петровский проспект, 20 к4;www.kozerog.ru;
ASL_Studio;+7–911–931–10–44, +7 (812) 705–31–54;Санкт-Петербург, Волковский проспект, 6;;
ИНК 24;+7–911–940–90–40;Санкт-Петербург, Коллонтай, 5/1;www.инк24.рф;
Ренессанс Петербург;+7 (812) 941–50–56;ДЦ Громовъ,Санкт-Петербург, Громова, 4;renaissance.spb.ru;
Оптима;+7 (812) 290–06–66;Санкт-Петербург, Руставели, 66 лит Б;www.spb-optima.ru;
Металекс, ООО;+7 (812) 725–07–26, +7 (812) 334–01–09;Санкт-Петербург, Малая Митрофаньевская, 14 лит А;metalex.su;
ПОБЕДА РУСЬ, ООО;+7 (812) 646–51–52, +7 (812) 372–66–30, +7 (812) 984–10–10;Санкт-Петербург, Комендантский проспект, 2;www.pobedarus.com;
Инстройсервис;+7 (812) 596–32–39;Технопарк Литовская 10,Санкт-Петербург, Литовская, 10;www.instroyservice.ru;
