Петрович;+7 (812) 334–88–88;Санкт-Петербург, Планерная, 15 лит В;petrovich.ru;
СИСТЕМА 2, ООО;+7 (812) 640–16–73, +7 (812) 640–16–77;БЦ Русские самоцветы,Санкт-Петербург, Карла Фаберже площадь, 8 лит А;sis2.ru;
Nerud-Servis;+7–911–104–101–4, +7–904–556–88–99;Санкт-Петербург Плаза,Санкт-Петербург, Малоохтинский проспект, 64а;nerud-servis.ru;
Блок, ООО;+7 (812) 309–22–09;Санкт-Петербург, Лиговский проспект, 50 к11 лит М;www.block-gbi.ru;
Оптовые базы, ООО;+7 (812) 326–94–82, +7 (812) 303–90–48;БЦ ИФХ,Санкт-Петербург, Лиговский проспект, 274;www.korporacia.ru;
Электронстрой-Эталон, ООО;+7 (812) 640–33–22;Санкт-Петербург, Верхний 5-й переулок, 13;electronstroy.ru;
Металл Момент, ООО;+7 (812) 677–65–67, +7 (812) 509–60–52;Санкт-Петербург, Сердобольская, 65;metallmoment.ru;
Кедр, ООО;+7 (81376) 7–34–73;д. Кипень, Ропшинское шоссе, 2 к1;стройбазакедр.рф;
Арсенал-ЖБИ, ООО;+7 (812) 425–62–00, +7 (812) 313–87–75;Санкт-Петербург, Ключевая, 30 лит А;arsenalgbi.com;
Метробетон;+7 (812) 320–42–21, +7 (812) 320–42–14;Санкт-Петербург, Ново-Никитинская, 17;www.metrobeton.ru;
Единая Служба Снабжения, ООО;+7 (812) 385–88–00;Санкт-Петербург, Красногвардейская площадь, 3 лит Е;ess-spb.ru;
Группа ЛСР, ПАО;8–800–770–75–77;Санкт-Петербург, Казанская, 36;www.lsrgroup.ru;
Петрович;+7 (812) 334–88–88;Санкт-Петербург, Энгельса проспект, 157 лит А;petrovich.ru;
Молодой ударник;+7 (812) 412–67–90, +7 (812) 333–44–66;Санкт-Петербург, Глухоозёрское шоссе, 12;www.udarnik.spb.ru;
СК Орт, ООО;+7–911–912–05–03;БЦ Петровский,Санкт-Петербург, Петровская коса, 1 к1;;
Оптовые базы, ООО;+7 (812) 326–94–82, +7 (812) 303–90–48;Санкт-Петербург, Магнитогорская, 11;www.korporacia.ru;
Петроблок МСК, ООО;+7 (812) 309–56–16;БЦ Квартал,Санкт-Петербург, Обуховской Обороны проспект, 86 лит М;www.petroblok.ru;
ТехПромЛогистик, ООО;+7–965–096–82–88, +7–965–096–82–85, +7 (812) 332–16–23;БЦ Re-forma,Санкт-Петербург, Революции шоссе, 69;www.spbtexprom.ru;
ДСК №5, АО;+7 (812) 461–99–77, +7 (812) 461–66–11;Санкт-Петербург, Финляндская, 23;oaodsk5.ru;
Северная Энергетическая Компания, ООО;+7 (812) 670–09–11;Санкт-Петербург, Большой Сампсониевский проспект, 106;www.sevencomm.ru;
П;+7 (812) 777–22–11, +7 (812) 334–44–05;Санкт-Петербург, Волго-Донской проспект, 1;www.psp-spb.ru;
ТОП ХАУС;+7 (812) 244–60–70;Санкт-Петербург, Кузнецовская, 10;www.tophouse.ru;
Группа ЛСР, ПАО;8–800–770–75–77;Санкт-Петербург, Невский проспект, 68;www.lsrgroup.ru;
Далас;+7 (812) 313–32–43;БЦ Глория,Санкт-Петербург, Дунайский проспект, 13 к1;gbi.spb.ru;
Кедр;+7–911–747–64–34;д. Нижняя Бронна, Нижняя Бронна, 9а;стройбазакедр.рф;
Монолит Комплект Строй, ООО;+7 (812) 982–26–77, +7 (812) 982–82–23;Санкт-Петербург, Дальневосточный проспект, 73а;mksspb.ru;
БК-Строй, ООО;+7 (812) 209–14–90;Санкт-Петербург, Московское шоссе, 13;www.bissnesstroy.ru;
