Возрождение;+7 (812) 645–98–12;Санкт-Петербург, Поварской переулок, 17;judgement-world.ru;judgement.w@gmail.com
;;;;
;;;;
;;;;
Grishko;+7 (812) 310–48–05, +7 (812) 407–50–32;Санкт-Петербург, Гороховая, 30;www.grishko.ru;
Белый слон;+7 (812) 333–08–80, +7–981–770–81–81;Санкт-Петербург, Чапаева, 17;w-slon.ru;
Возрождение;+7 (812) 645–90–03;Санкт-Петербург, Фёдора Абрамова, 15;judgement-world.ru;judgement.w@gmail.com
Hot Yoga 36;+7 (812) 970–90–36;Санкт-Петербург, Рубинштейна, 36;www.hotyoga36.com;
Йога хорошей жизни;+7–911–287–80–54;Санкт-Петербург, Щербаков переулок, 3;www.spb-yoga.com;
Атма Йога;+7–904–552–82–42;Санкт-Петербург, Белинского, 9;atmayoga.ru;
Tequila Dance;+7 (812) 448–07–01;Санкт-Петербург, Маршала Новикова, 4 к1;tequiladance.ru;dir@tequiladance.ru
;;;;
;;;;
Пальмира;+7 (812) 956–67–99;Санкт-Петербург, Будапештская, 19 к1;ksepalmira.ru;
АлМар;+7–965–019–20–09;Гостиница Октябрьская,Санкт-Петербург, Лиговский проспект, 10;;
;;;;
;;;;
;;;;
Checkpoint Dance Studio;+7 (812) 905–15–86;Санкт-Петербург, Мира, 15 к1;чекпоинт.рф;
Сфера;+7 (812) 333–08–80;ТРК Великан-парк,Санкт-Петербург, Александровский парк, 4 к3 лит А;www.yogasfera.ru;
Парус;+7–900–658–43–26;Санкт-Петербург, Кораблестроителей, 16 к2;;
ЙОТО;+7–921–955–85–81, +7 (812) 955–85–81;Санкт-Петербург, Коломенская, 14;yoto108.ru;
Sportissimo;+7–911–101–74–10;Санкт-Петербург, Парашютная, 23 к1;sportissimo.spb.ru;
INSIDE;+7 (812) 642–71–50;Санкт-Петербург, Комендантский проспект, 31 к1;www.insidemama.ru;
О-Три;+7 (812) 273–21–85, +7 (812) 716–46–79;Санкт-Петербург, Шпалерная, 32;medicine-spb.ru;
Аюрдара;+7–911–208–61–62;Санкт-Петербург, Казначейская, 5;ayurvedaa.umi.ru;
ОСНОВА;+7 (812) 926–74–88, +7–911–926–74–88;Санкт-Петербург, Маршала Жукова проспект, 54 к6;www.osnova8.ru;
;;;;
Виньяса;+7 (812) 922–28–49;Санкт-Петербург, Шлиссельбургский проспект, 19;;
Лето!;+7–921–557–72–55;Санкт-Петербург, Руставели, 60;www.dance-leto.ru;
;;;;
;;;;
