—“ќ”Ќ –ќ”«;+7Ц916Ц707Ц27Ц49;ћосква, Ќагатинский 1-й проезд,†2 ст4Ѕ;stonerose.ru;stonerosemoscow@gmail.com
ƒл€ души;; оролЄв, ѕионерска€,†15 к1;;
Beauty Flora;+7Ц985Ц226Ц71Ц76; оролЄв, Ћесна€,†12;www.bflora.ru;
Vasilek;+7Ц916Ц494Ц98Ц60, +7Ц916Ц779Ц92Ц98; оролЄв, ѕионерска€,†19 к3;;
–ос÷вет;+7 (495) 120Ц81Ц27; оролЄв, ћичурина,†1 вл1;roscvet-shop.ru;
“имь€н;+7Ц916Ц250Ц45Ц09; оролЄв, √орького,†79 к5;;
—энгэн;+7 (495) 508Ц95Ц05, +7 (495) 669Ц35Ц35; оролЄв, ѕушкинска€,†15;www.sengen.ru;
Secret Garden;+7Ц903Ц724Ц94Ц24, +7 (495) 724Ц94Ц24;ћосква, јкадемика  оролЄва,†21;secretg.ru;
777Flowers;+7 (495) 220Ц42Ц23, +7Ц910Ц479Ц28Ц38;Ѕ÷ ћосавто,ћосква, јкадемика  оролЄва,†13 ст1;777flowers.ru;
 левер;+7 (495) 517Ц73Ц23, +7Ц905Ц510Ц20Ц40;“ќ÷  орабль, оролЄв,  осмонавтов проспект,†27Ѕ;www.klever-flowers.ru;
÷ветарик;+7Ц977Ц100Ц77Ц27, +7Ц963Ц924Ц85Ц22;“÷ √елиос, оролЄв,  осмонавтов проспект,†20а;cvetarik.ru;aftoflowers2010@yandex.ru
ƒ»јЋ;+7Ц915Ц300Ц11Ц11;“÷ є1, оролЄв,  осмонавтов проспект,†12а;;
Vasilek;+7Ц916Ц494Ц98Ц60, +7Ц916Ц779Ц92Ц98; оролЄв, ћ. . “ихонравова,†54;;
√ородска€ база цветов;+7Ц967Ц018Ц62Ц79, +7Ц915Ц477Ц14Ц00;“÷ «вездный, оролЄв,  осмонавтов проспект,†47/16;gbcvet.ru;
 оролевский цветок;+7Ц915Ц352Ц43Ц34;√ипермаркет √лобус, оролЄв,  оммунальна€,†1;kflowers.ru;
–ос÷вет;+7 (495) 120Ц81Ц27; оролЄв, јкадемика Ћегостаева,†64д;roscvet-shop.ru;
 иоск цветов;+7Ц963Ц978Ц68Ц08, +7Ц963Ц978Ц68Ц10; оролЄв, √орького,†6а ст2;;
Vasilek;+7Ц916Ц494Ц98Ц60, +7Ц916Ц779Ц92Ц98; оролЄв, —оветска€,†36а;;
–ос÷вет;+7 (495) 120Ц81Ц27; оролЄв, ј.». Ќестеренко,†19;roscvet-shop.ru;
 левер;+7 (495) 517Ц73Ц23, +7Ц905Ц510Ц20Ц40; оролЄв,  оролЄва проспект,†20;www.klever-flowers.ru;
—алон цветов;;–   аспий,  оролЄв, —оветска€,†35;;
—адовник;; оролЄв, √орького,†25/1;;
јЋ»–ј, ќќќ;+7 (495) 511Ц67Ц29, +7 (495) 516Ц87Ц07; оролЄв, 50-лети€ ¬Ћ —ћ,†6г;alira-flora.ru;
јмели€;+7Ц905Ц739Ц78Ц59; оролЄв,  оролЄва проспект,†22;;
Allium;+7Ц925Ц230Ц14Ц15, +7Ц925Ц540Ц72Ц78; оролЄв,  осмонавтов проспект,†вл4;;
‘лора;; оролЄв, ћа€ковского,†4;;
јЋ»–ј, ќќќ;+7Ц926Ц777Ц06Ц69; оролЄв, √агарина,†12/14;alira-flora.ru;
—анфлауэрс;+7 (495) 978Ц64Ц90, +7 (495) 682Ц10Ц11;ћосква, јкадемика  оролЄва,†3;www.bestbuket.ru;
Allium;+7Ц925Ц230Ц14Ц15, +7Ц925Ц540Ц72Ц78; оролЄв, √орького,†33а;;
—адовник;; оролЄв,  осмонавтов проспект,†вл7;;
MyFlowers studio;+7Ц916Ц106Ц81Ц12, +7 (495) 592Ц05Ц04, +7Ц916Ц106Ц81Ц13;рп.†Ќахабино,  оролЄва,†5;www.mfstudio.ru;
ј¬ƒ √рупп, ќќќ;+7 (495) 617Ц52Ц08;ќстанкино,ћосква, јкадемика  оролЄва,†12;;
ћагазин цветов;+7Ц926Ц716Ц06Ц25; оролЄв, ћ. . “ихонравова,†22Ѕ;;
ENJOY;+7 (495) 215Ц07Ц51; оролЄв,  алинина,†2;;
ћагазин цветов;+7Ц926Ц716Ц06Ц25, +7Ц926Ц925Ц59Ц59; оролЄв, Ћесна€,†12;;
—алон цветов;; оролЄв, “арасовска€,†10а;;
–ос÷вет;+7 (495) 120Ц81Ц27; оролЄв,  оролЄва проспект,†7;roscvet-shop.ru;
ћагазин цветов;; оролЄв, ћа€ковского,†4;;
—адовник;+7Ц926Ц649Ц95Ц23; оролЄв, ћичурина,†21а ст2;;
Sinierozy.ru;+7Ц926Ц956Ц78Ц95;ћосква, јкадемика  оролЄва,†9 к1;sinierozy.ru;
Ћеди ћ;+7Ц903Ц127Ц91Ц01; оролЄв, ‘рунзе,†1д к2;www.zvetikorolev.ru;
ћагазин цветов;;“÷ Ёлайт, оролЄв, ћ. . “ихонравова,†28г;;
јЋ»–ј, ќќќ;+7 (495) 516Ц87Ц07; оролЄв,  алинина,†1Ѕ;alira-flora.ru;
—адовник;; оролЄв,  осмонавтов проспект,†вл39;;
–ос÷вет;+7 (495) 120Ц81Ц27; оролЄв,  оролЄва проспект,†11а;roscvet-shop.ru;
ћагазин цветов;+7Ц985Ц803Ц71Ц33; оролЄв, ћ. . “ихонравова,†22а;;
ћагазин цветов;+7Ц985Ц803Ц71Ц33; оролЄв, ћ. . “ихонравова,†вл34;;
÷ветланди€;+7Ц968Ц709Ц99Ц00;“÷ ћегаполис 2, оролЄв, 50-лети€ ¬Ћ —ћ,†6е;;
ћагазин цветов;+7Ц916Ц338Ц61Ц54;∆уковский,  оролЄва,†6 ст3;;
ћагазин цветов;+7Ц985Ц803Ц71Ц33; оролЄв, Ѕольша€  омитетска€,†вл9/2;;
–ос÷вет;+7 (495) 120Ц81Ц27; оролЄв, ¬окзальный проезд,†3;roscvet-shop.ru;
÷веточный магазин;; оролЄв, √рабина,†14 к1;;
√ородские цветы;+7 (495) 510Ц35Ц40; оролЄв,  алининградска€,†17/1;;
ћагазин цветов;; оролЄв, ћакаренко проезд,†1;;
‘лора21;+7Ц901Ц561Ц18Ц92; оролЄв,  арла ћаркса,†3д;flora21.ru;
–ос÷вет;+7 (495) 120Ц81Ц27; оролЄв, ѕионерска€,†30 к8;roscvet-shop.ru;
ћагазин цветов;; оролЄв, —танционна€ площадь,†23;;
–ос÷вет;+7 (495) 120Ц81Ц27; оролЄв, ƒекабристов,†6/8;roscvet-shop.ru;
÷веточный —ад;;“÷ ¬еста,  оролЄв, √орького,†3а;;
“рейд-Ћ“ƒ, ќќќ;; оролЄв, ћ. . “ихонравова,†25 киоск;;
ћагазин цветов и сувениров;; оролЄв,  ирова,†1;;
korzini.com;+7Ц903Ц581Ц00Ц07; оролЄв, ярославский проезд,†18а;korzini.com;
ћагазин цветов;; оролЄв, ћ. . “ихонравова,†54;;
ћагазин цветов;; оролЄв, ѕионерска€,†49в;;
÷веточный рай;; оролЄв, ћ. . “ихонравова,†28а;;
√ородска€ база цветов;+7Ц967Ц018Ц62Ц79, +7Ц915Ц477Ц14Ц00; оролЄв, ѕионерска€,†3;gbcvet.ru;
ћагазин цветов;+7Ц910Ц476Ц11Ц00; оролЄв, Ћесна€,†вл14;;
√ородска€ база цветов;+7Ц967Ц018Ц62Ц79, +7Ц915Ц477Ц14Ц00; оролЄв, ѕионерска€,†1;gbcvet.ru;
÷веточный магазин;;ћосква, јкадемика  оролЄва,†9 к1;;
ћагазин цветов;+7Ц925Ц539Ц40Ц47; оролЄв, ћарины ÷ветаевой,†1и;;
ћагазин цветов;; оролЄв, ƒзержинского,†26/1;;
ћагазин цветов;+7Ц925Ц539Ц40Ц47; оролЄв,  оролЄва проспект,†6г;;
–осцветы;; оролЄв,  осмонавтов проспект,†36а;;
—алон цветов;; оролЄв,  осмонавтов проспект,†12а ст2;;
√ородска€ база цветов;+7Ц967Ц018Ц62Ц79, +7Ц915Ц477Ц14Ц00; оролЄв, »саева,†1г;gbcvet.ru;
 иоск по продаже цветов;; оролЄв, »саева,†6а киоск;;
–ос÷вет;+7 (495) 120Ц81Ц27; оролЄв,  осмонавтов проспект,†37 к1;roscvet-shop.ru;
“рейд-Ћ“ƒ, ќќќ;; оролЄв,  алининградска€,†12 к3 киоск;;
“рейд-Ћ“ƒ, ќќќ;; оролЄв,  алининградска€,†3/2-1 киоск;;
ћагазин цветов;; оролЄв, —танционна€ площадь,†1;;
—алон цветов;; оролЄв, ќкт€брьска€,†вл9;;
—алон цветов;+7Ц926Ц410Ц16Ц51; оролЄв, “ерешковой,†2/12;www.ameli-flowers.ru;
—алон цветов;+7Ц926Ц410Ц16Ц51; оролЄв, ѕионерска€,†49в;www.ameli-flowers.ru;
ћагазин цветов;; оролЄв,  осмонавтов проспект,†36Ѕ;;
÷веты всем;+7Ц977Ц654Ц86Ц03; оролЄв,  осмонавтов проспект,†36Ѕ;cvety-vsem.netdo.ru;
ћагазин цветов;; оролЄв, Ўоссейна€,†вл7а;;
ћагазин цветов;; оролЄв, ѕионерска€,†16;;
—офи€;; оролЄв,  алининградска€,†1 к2;;
—офи€;; оролЄв, √орького,†47;;
—алон цветов;; оролЄв,  осмонавтов проспект,†вл3;;
“рейд-Ћ“ƒ, ќќќ;; оролЄв,  осмонавтов проспект,†10Ѕ/1 киоск;;
“рейд-Ћ“ƒ, ќќќ;; оролЄв, √рабина,†12а-2 киоск;;
Fata Fiori;+7Ц977Ц287Ц17Ц17;ћосква, ћытищинска€ 3-€,†3 ст1;fatafiori.ru;
÷ветовик;+7 (495) 777Ц10Ц28;ћытищи, –ождественска€,†11;moscow.cvetovik.com;info@cvetovik.com
јркус, ќќќ;+7 (495) 799Ц77Ц34;ћытищи,  расный ѕосЄлок,†вл6а ст2;arcusflor.ru;
GoldGarden;+7 (498) 301Ц39Ц93;ћытищи,  олпакова,†44 ст ј;goldgarden.ru;
√ородска€ база цветов;+7Ц967Ц018Ц62Ц79, +7Ц915Ц477Ц14Ц00;ћытищи, Ѕорисовка,†2;gbcvet.ru;
Bella Flora;+7 (495) 774Ц28Ц54, +7Ц985Ц774Ц28Ц54;ћытищи,  омарова,†4;bellaflora.su;
—туди€ букетов;+7Ц985Ц969Ц33Ц70;ћытищи, ёбилейна€,†16;студи€букетов.рф;
O`Letta;+7Ц903Ц163Ц88Ц11;ћытищи, ћира,†30;www.oletta.ru;
Ruta Flor;+7Ц926Ц072Ц73Ц32, +7 (495) 786Ц55Ц25;ћытищи,  олпакова,†44 ст ј;rutaflor.com;
–ос÷вет;+7 (495) 120Ц81Ц27;ћытищи, ЋЄтна€,†40;roscvet-shop.ru;
Grand-flora;8Ц800Ц333Ц01Ц95, +7 (495) 229Ц39Ц05;“ќ÷ Ѕ–»«, ћытищи, —укромка,†7;www.grand-flora.ru;
ћаргаритка-флор;+7Ц916Ц531Ц89Ц23, +7Ц916Ц093Ц30Ц22, +7Ц967Ц246Ц11Ц65;ћытищи, Ќовомытищинский проспект,†42/9;www.margaritka-flor.ru;
O`Letta;+7Ц903Ц163Ц88Ц22;ћытищи, ѕролетарска€ 1-€,†ст12;www.oletta.ru;
“рейд-Ћ“ƒ, ќќќ;;ћытищи,  олпакова,†36 к1 киоск;;
