Flowers Expert;+7 (812) 425–36–05, +7 (812) 928–88–77, +7–911–928–88–77;Санкт-Петербург, Лиговский проспект, 53;www.flowers-expert.ru;info@flowers-expert.ru
Yдобра;+7–981–727–31–93, +7 (812) 274–11–79;Санкт-Петербург, Херсонская, 23;ydobra.ru;gorshkoff.ru@gmail.com
Цветы Provance;+7 (812) 408–26–15;ТРК Европолис,Санкт-Петербург, Полюстровский проспект, 84а;;kormach.u@mail.ru
Салон цветов;+7 (812) 941–41–59;ТОЦ Толстой сквер,Санкт-Петербург, Льва Толстого, 9;;
4 Сезона;+7 (812) 373–63–63;Санкт-Петербург, Пулковское шоссе, 25 к3;fsflowers.ru;
Новая Голландия;8–800–333–60–08;Санкт-Петербург, Обуховской Обороны проспект, 121Б;novayagollandiya.ru;
Зеленогорск;+7–911–983–33–91, +7–921–999–83–54;Санкт-Петербург, Московский проспект, 111;lavkazelenogorsk.ru;
Гифт Декор, ООО;+7 (812) 385–18–17;Санкт-Петербург, Кубинская, 76 к4а;www.alseedservice.ru;
Новая Голландия;8–800–333–60–08, +7 (812) 600–49–20, +7 (812) 429–56–26;Санкт-Петербург, Киевская, 5 к4;novayagollandiya.ru;
Garage flowers;+7 (812) 438–01–70;Санкт-Петербург, Лиговский проспект, 50 к12 лит Н;garage-flowers.ru;
Flowers Iris;+7–921–950–58–27;Сертолово, Молодцова, 8/2;flowersiris.ru;flowersiris@bk.ru
Капюшон;+7–921–349–54–34;Санкт-Петербург, Ленинский проспект, 74 к3;u30904.web03.vigbo.com;
RozaFlowers;+7 (812) 906–82–38, +7–921–885–15–41;Санкт-Петербург, Есенина, 1 к1;;
Фантазия;8–800–775–92–90, +7 (812) 777–92–00, +7 (812) 777–92–00;Санкт-Петербург, Ленинский проспект, 127Б;www.eliteflower.ru;eliteflower@mail.ru
Планта-А;+7 (812) 937–48–27, +7 (812) 388–94–95, +7 (812) 318–52–45;Санкт-Петербург, Коли Томчака, 20Б;www.planta-a.ru;
Праздничный город;+7–921–782–82–92;Санкт-Петербург, Кронверкский проспект, 35;;
FRESA;+7–981–958–67–25;Санкт-Петербург, Киевская, 6 к2;fresaflowers.ru;
Фантазия;+7 (812) 315–95–27;Санкт-Петербург, Загородный проспект, 34;www.fantasy-flowers.ru;
Vetka;+7 (812) 926–66–86;Санкт-Петербург, Большой проспект П.С., 41;;
БОТАНИКА Цветочное проSтранство;+7 (812) 314–99–36;Санкт-Петербург, Галерная, 16;botanikspace.ru;
Ботаника Lab;+7–921–792–70–14;Санкт-Петербург, Лиговский проспект, 65;;
Вереск;+7–952–273–10–33;Санкт-Петербург, Набережная канала Грибоедова, 83;;
Оптово-розничная компания по продаже цветов;+7 (812) 346–82–39, +7 (812) 346–82–38;Санкт-Петербург, Штурманская, 12а;say-one.ru;
ГорЦветТорг;+7–911–099–26–07;Санкт-Петербург, Средний проспект В.О., 65;;9504288@mail.ru
La Buket;+7–981–693–40–51;Санкт-Петербург, Капитанская, 4;www.labuket.ru;
ЦВЕТОЧНАЯ МАСТЕРСКАЯ;+7–921–948–13–54;Санкт-Петербург, Фёдора Абрамова, 8;cvetomaster.ru;
Lacy Bird SPb;+7–921–392–97–40;Санкт-Петербург, Литейный проспект, 59;spb.lacybird.ru;
Цветы в большом городе;+7–905–265–40–60;ТОЦ Измайловский Гостиный Двор,Санкт-Петербург, Красноармейская 1-я, 15;;
Цветовичкоф;+7 (812) 922–17–07, +7 (812) 923–54–23, +7 (812) 922–44–63, +7 (812) 922–44–53;Санкт-Петербург;cvetovichkof.ru;
