Скандинавия;+7 (812) 416–01–38;Санкт-Петербург, Литейный проспект, 55;www.avaclinic.ru;info@avaclinic.ru
РЕАСАНМЕД, ООО;+7 (812) 448–84–34;Санкт-Петербург, Варшавская, 5 к3 лит А;www.reasunmed.ru;1@reasunmed.ru
Альтермед;+7 (812) 468–88–88, 8–800–333–68–88;Санкт-Петербург, Энгельса проспект, 139/21;www.altermed.ru;info@altermed.ru
Альтермед;+7 (812) 468–88–88, 8–800–333–68–88;Санкт-Петербург, Энгельса проспект, 139/21;www.altermed.ru;info@altermed.ru
Скандинавия;+7 (812) 416–01–38;Санкт-Петербург, Литейный проспект, 55;www.avaclinic.ru;info@avaclinic.ru
МЕДИКА;+7 (812) 606–78–92, +7 (812) 458–00–00;Санкт-Петербург, Бадаева, 6 к1;spbmedika.ru;kd@spbmedika.ru
Альтермед;+7 (812) 468–88–88, 8–800–333–68–88;Санкт-Петербург, Энгельса проспект, 139/21;www.altermed.ru;info@altermed.ru
ЦМРТ;+7 (812) 600–12–15;Санкт-Петербург, Рентгена, 5;mrtpetrograd.ru;info@mrtpetrograd.ru
ЦМРТ;+7 (812) 600–12–15;Санкт-Петербург, Рентгена, 5;mrtpetrograd.ru;info@mrtpetrograd.ru
Врачебная практика, ООО;+7 (383) 201–83–13;Новосибирск, Покрышкина, 1;www.медцентрнск.рф;
Альтермед;+7 (812) 468–88–88, 8–800–333–68–88;Санкт-Петербург, Энгельса проспект, 139/21;www.altermed.ru;info@altermed.ru
Первая семейная клиника Петербурга;+7 (812) 300–5–300;Санкт-Петербург, Каменноостровский проспект, 16;www.1-clinic.ru;info@oneclinic.ru
Скандинавия;+7 (812) 416–01–38;Санкт-Петербург, Литейный проспект, 55;www.avaclinic.ru;info@avaclinic.ru
Первая семейная клиника Петербурга;+7 (812) 300–5–300;Санкт-Петербург, Каменноостровский проспект, 16;www.1-clinic.ru;info@oneclinic.ru
Клиника Санитас;+7 (383) 233–66–00;Новосибирск, Вокзальная магистраль, 16;www.sanitas.ru;novosibirsk@sanitas.ru
РЕАСАНМЕД, ООО;+7 (812) 448–84–34;Санкт-Петербург, Варшавская, 5 к3 лит А;www.reasunmed.ru;1@reasunmed.ru
ЛабСтори, ООО;+7 (812) 777–90–40;Санкт-Петербург, Достоевского, 44 к Е;www.labstori.ru;call@labstori.ru
Первая семейная клиника Петербурга;+7 (812) 300–5–300;Санкт-Петербург, Каменноостровский проспект, 16;www.1-clinic.ru;info@oneclinic.ru
