Правовой результат;+7–911–238–98–62;Санкт-Петербург, Большая Пороховская, 25;pravovojrezultat.ru;info@pravovojrezultat.ru
Марсово поле;+7 (812) 312–45–33, +7 (812) 315–02–75;Санкт-Петербург, Марсово Поле, 3;marsovopole-law.ru;
st.ru;
Победа;+7–911–777–76–36;Бизнес-отель Карелия,Санкт-Петербург, Маршала Тухачевского, 27 к2;;rosexpertaudit@mail.ru
Бизнес-Юрист;+7 (812) 643–66–66;Санкт-Петербург, Манежный переулок, 14;b-urist.ru;
a-helper;+7–921–756–36–33;ТОЦ Рубикон,Санкт-Петербург, Гражданский проспект, 119;a-helper.ru;
Маршала Жукова 28;+7 (812) 382–06–62;Санкт-Петербург, Маршала Жукова проспект, 28 к1;www.center28.ru;
Эклекс, ООО;+7 (812) 406–80–10;Санкт-Петербург, Лиговский проспект, 43-45 лит Б;www.eclex.ru;
Инфора, АО;+7 (812) 642–21–22;Руби Роз Индастриал Компани,Санкт-Петербург, Моисеенко, 43;www.inforaspb.ru;
Альянс Евразия;+7 (812) 973–77–75;БЦ Шереметев,Санкт-Петербург, Стачек проспект, 47 лит А;alliance-eurasia.com;
Высшая инстанция;+7 (812) 956–79–54, +7 (812) 748–23–61;БЦ Сенатор,Санкт-Петербург, Лиговский проспект, 21;высшая-инстанция.рф;
Витакон, ООО;8–800–333–30–74, +7 (812) 309–71–59;Гостиница Октябрьская,Санкт-Петербург, Невский проспект, 118;vitakon.ru;
Адвокат-Lex;+7 (812) 493–39–02, +7 (812) 942–08–94;Санкт-Петербург, Малый проспект П.С., 32;advokat-lex.ru;
Адвокатская консультация №25;+7 (812) 275–33–96, +7 (812) 275–34–01, +7 (812) 275–79–20;Санкт-Петербург, Лиговский проспект, 31;;
Петербургский Правовой Альянс;+7 (812) 407–80–77, +7 (812) 273–30–34;Санкт-Петербург, Чайковского, 12;grouppa.ru;
Компания юридических услуг;+7 (812) 926–85–95;БЦ Буревестник,Санкт-Петербург, Малоохтинский проспект, 68;legaladvisor.spb.ru;
Наука. Совесть. Независимость., ООО;+7 (812) 327–74–04;Санкт-Петербург, 16-я линия В.О., 25;;
З.И.В. Проекты. Финансовые и юридические услуги, ООО;+7 (812) 332–92–65;БЦ Сенатор,Санкт-Петербург, 7-я линия В.О., 76;www.zivprojects.ru;
Берега Невы, ООО;+7 (812) 244–74–75, +7 (812) 604–01–70, +7 (812) 943–50–70, +7–921–943–50–70;БЦ Суворовский 2,Санкт-Петербург, Суворовский проспект, 2Б;bereganevy.ru;
Адвокатская палата г. Санкт-Петербурга;+7–921–927–55–07, +7 (812) 310–01–92;Санкт-Петербург, Большая Подьяческая, 8;apspb.ru;
Коллегия Юристов;+7 (812) 646–10–50;Бизнес-центр К-12,Санкт-Петербург, Таллинская, 7а;kollegia-uristov.ru;
БК-Консалт, ООО;+7 (812) 946–77–95;БЦ Тусар,Санкт-Петербург, Пионерская, 34;bk-consult.ru;
ВИНСТ;+7 (812) 574–60–47;ДЦ Владимирский,Санкт-Петербург, Щербаков переулок, 12;vinst-spb.ru;
АК №36;+7–981–911–05–61;Санкт-Петербург, Сестрорецкая, 4;aurs.pro;
Адвокатская консультация №12;+7 (812) 575–56–52;Санкт-Петербург, Разъезжая, 46;;
